=== Log compressione immagini MyRealVet ===
✅ C:\Users\email\Desktop\GITHUB MAGOX\assets-myrealvet\consulenza\cover-consulenza.png ridotto del 0.0%
✅ C:\Users\email\Desktop\GITHUB MAGOX\assets-myrealvet\consulenza\cover-consulenza.webp ridotto del 95.6%
✅ C:\Users\email\Desktop\GITHUB MAGOX\assets-myrealvet\img\payhip\landing-page\corso-alimentazione.png ridotto del 0.0%
✅ C:\Users\email\Desktop\GITHUB MAGOX\assets-myrealvet\img\payhip\landing-page\corso-alimentazione.webp ridotto del 96.7%
✅ C:\Users\email\Desktop\GITHUB MAGOX\assets-myrealvet\img\payhip\landing-page\cosa-vuole-davvero-un-gatto.png ridotto del -417.3%
✅ C:\Users\email\Desktop\GITHUB MAGOX\assets-myrealvet\img\payhip\landing-page\cosa-vuole-davvero-un-gatto.webp ridotto del 85.4%
✅ C:\Users\email\Desktop\GITHUB MAGOX\assets-myrealvet\img\payhip\landing-page\coverbook-consulenza.png ridotto del 33.6%
✅ C:\Users\email\Desktop\GITHUB MAGOX\assets-myrealvet\img\payhip\landing-page\coverbook-consulenza.webp ridotto del 93.7%
✅ C:\Users\email\Desktop\GITHUB MAGOX\assets-myrealvet\img\payhip\landing-page\fotoprofilo.webp ridotto del 6.4%
✅ C:\Users\email\Desktop\GITHUB MAGOX\assets-myrealvet\img\payhip\landing-page\primo-soccorso.png ridotto del 37.3%
✅ C:\Users\email\Desktop\GITHUB MAGOX\assets-myrealvet\img\payhip\landing-page\primo-soccorso.webp ridotto del 87.9%
✅ C:\Users\email\Desktop\GITHUB MAGOX\assets-myrealvet\img\payhip\landing-page\PRONTO SOCCORSO.PNG ridotto del -361.9%
✅ C:\Users\email\Desktop\GITHUB MAGOX\assets-myrealvet\img\payhip\landing-page\PRONTO SOCCORSO.webp ridotto del 82.6%
✅ C:\Users\email\Desktop\GITHUB MAGOX\assets-myrealvet\img\payhip\landing-page\pronto-soccorso.png ridotto del -361.9%
✅ C:\Users\email\Desktop\GITHUB MAGOX\assets-myrealvet\img\payhip\landing-page\pronto-soccorso.webp ridotto del 82.6%
✅ C:\Users\email\Desktop\GITHUB MAGOX\assets-myrealvet\img\payhip\pg-alimentazione-cane\dieta-casalinga-sicura.png ridotto del 37.5%
✅ C:\Users\email\Desktop\GITHUB MAGOX\assets-myrealvet\img\payhip\pg-alimentazione-cane\dieta-casalinga-sicura.webp ridotto del 92.4%
✅ C:\Users\email\Desktop\GITHUB MAGOX\assets-myrealvet\img\payhip\pg-alimentazione-cane\etichette-chiare-cane-sereno.png ridotto del 44.8%
✅ C:\Users\email\Desktop\GITHUB MAGOX\assets-myrealvet\img\payhip\pg-alimentazione-cane\etichette-chiare-cane-sereno.webp ridotto del 89.8%
✅ C:\Users\email\Desktop\GITHUB MAGOX\assets-myrealvet\img\payhip\pg-alimentazione-cane\Mockup-corso-alimentazione.png ridotto del 49.7%
✅ C:\Users\email\Desktop\GITHUB MAGOX\assets-myrealvet\img\payhip\pg-alimentazione-cane\Mockup-corso-alimentazione.webp ridotto del 82.9%
✅ C:\Users\email\Desktop\GITHUB MAGOX\assets-myrealvet\img\payhip\pg-alimentazione-cane\no-stress.png ridotto del 31.9%
✅ C:\Users\email\Desktop\GITHUB MAGOX\assets-myrealvet\img\payhip\pg-alimentazione-cane\no-stress.webp ridotto del 90.7%
